paper_id,betweenness,indegree,clustering,pagerank
1004883028,0,0,0,0
1006494919,11121.8153540904,10,0.00407256571640133,2.55236308262951e-05
105589024,13,1,0,2.19824448749771e-05
1065472707,0,0,0.666666666666667,2.12305302615473e-05
108462085,0,0,0,0
1085730058,576.116666666667,2,0.00793650793650794,2.17783654168963e-05
1105550512,45745.4823534838,16,0.053968253968254,3.98384634915557e-05
115245460,0,0,0,0
117786300,0,0,0,0
1204344257,0,0,0,2.12305302615473e-05
1210862825,0,0,0,2.12305302615473e-05
123187380,0,0,0,2.12305302615473e-05
1264035644,0,0,0,2.12305302615473e-05
128641864,0,0,0,0
131096050,17,1,0.0275862068965517,2.1761293518086e-05
1428768901,182931.173744101,33,0.0449367088607595,5.44465034839622e-05
1433904904,0,0,0,0
1437882709,0,0,0.0172494172494172,2.12305302615473e-05
1482077358,148,1,0.00201612903225806,2.17936407654042e-05
1482406218,119844.111802324,52,0.0623506927854754,5.159844581724e-05
148251832,0,0,0,0
1484929733,0,0,0,0
1485579781,0,0,0,2.12305302615473e-05
1486238765,0,0,0,0
1487000972,1550.39841269841,3,0.00365853658536585,2.32713446061892e-05
1487553478,0,0,0,0
1489260050,0,0,0,2.12305302615473e-05
1493232412,6440.27761652062,1,0.0166666666666667,2.24132125232222e-05
1493419873,0,0,0,0
1494180935,0,0,0,2.12305302615473e-05
1494239642,0,0,0,0
1495001025,0,0,0,0
1500854208,144,1,0.138888888888889,2.19008892460596e-05
1500980978,0,0,0,2.12305302615473e-05
1505319996,0,0,0,2.12305302615473e-05
1505986080,0,0,0,0
1506055624,0,0,0,0
1510460909,0,0,0,2.12305302615473e-05
1510648701,0,0,0.00403225806451613,2.12305302615473e-05
1510702506,0,0,0,2.12305302615473e-05
1512976986,0,0,0,0
1515376933,0,0,0,0
1516513741,434.115800865801,2,0.0490018148820327,2.21312194241584e-05
1517777314,0,0,0,0
1518977883,0,0,0,0
1520907720,0,0,0,0
1523938716,0,0,0,2.12305302615473e-05
1528347002,0,0,0,0
1532503642,275082.605899886,73,0.03397597977244,0.000112082070558467
1532771221,0,0,0,2.12305302615473e-05
1534455289,0,0,0,0
1537003561,0,0,0,0
1538919674,29,2,0.0769230769230769,2.19066215526144e-05
1539495174,0,0,0,0
1540772927,0,0,0,0
1540863043,0,0,0,2.12305302615473e-05
1544304779,0,0,0,0
1544805277,0,0,0,0
1546377949,0,0,0,0
1547057054,0,0,0,0
1548413315,0,0,0,0
1549873961,0,0,0,0
1550237082,0,0,0,0
1550554837,0,0,0,0
1550831463,0,0,0,0
1554006404,0,0,0.00665456745311555,2.12305302615473e-05
1554315748,0,0,0,0
155513819,0,0,0,0
1556256689,0,1,0,2.1666087865664e-05
1559145965,1,1,0,2.16601957549358e-05
1559232096,0,0,0,0
156302202,0,0,0,0
1563225220,0,0,0,0
1564234944,0,0,0,2.12305302615473e-05
1566072995,0,0,0,0
1568535570,0,0,0,2.12305302615473e-05
1569303211,260.466666666667,2,0.0266666666666667,2.19567020465746e-05
1575140752,0,0,0,2.12305302615473e-05
1576703195,0,0,0,2.12305302615473e-05
1582195457,0,0,0,0
1586469766,0,0,0,2.12305302615473e-05
1586772443,0,0,0,0
1588558377,626.483333333333,2,0.0994152046783626,2.30724619319727e-05
1593733794,84,1,0,3.0548487509512e-05
1594392536,45.5,1,0.00564971751412429,2.21328277976631e-05
1596296699,0,0,0,2.12305302615473e-05
1598942639,15818.4977022977,12,0.0256045519203414,3.59254209720308e-05
1600191925,0,0,0,0
1601448864,0,0,0,0
1602598039,0,0,0,0
1603271136,0,0,0,2.12305302615473e-05
1604277295,0,0,0,2.12305302615473e-05
1604531539,0,0,0,0
1613353461,30164.7575555557,42,0.0409517272935255,4.80730768993268e-05
1633290263,0,0,0,0
1637228204,0,0,0,0
1640257171,0,0,0,0
164066701,0,0,0,2.12305302615473e-05
1647458253,0,0,0,2.12305302615473e-05
1649638786,0,0,0,0
1650166134,0,0,0,0
1653645558,0,0,0,0
1656559290,0,0,0.0274509803921569,2.12305302615473e-05
165659547,0,0,0,0
1657014009,0,0,0,2.12305302615473e-05
1669988051,0,0,0,0
1674696450,4745.34325396826,7,0.0476190476190476,2.91071349923597e-05
1676052391,0,0,0,2.12305302615473e-05
167651714,0,0,0,0
1678671524,0,0,0,0
168282893,0,0,0,0
1694069764,0,0,0,0
1705307319,0,0,0,0
1707588344,0,0,0,2.12305302615473e-05
171504235,0,0,0,0
1738996409,3343.60870155573,4,0.04,2.26699532249413e-05
174103511,0,0,0,2.12305302615473e-05
1744497220,328,7,0.0467836257309942,3.28576064326879e-05
1749230224,0,0,0,2.12305302615473e-05
1757694062,0,1,0,2.17054237016082e-05
1759104145,0,0,0,0
175972891,0,0,0,0
176107497,1489.91923909424,2,0.161904761904762,2.23953896597759e-05
176263621,0,0,0,0
1762922016,0,0,0,0
1774129038,2025.22296314796,5,0.0830917874396135,2.29833677342551e-05
1776427768,0,0,0,2.12305302615473e-05
1795371061,1442,1,0,2.72458471689857e-05
1802624744,0,0,0,0
1811558608,2242.25442751693,5,0.0575858250276855,2.36086409553607e-05
1813099803,0,0,0,2.12305302615473e-05
1819381604,1988.85766733267,3,0.0596205962059621,2.23136009659041e-05
1820187610,0,0,0,2.12305302615473e-05
1821925924,155.147619047619,2,0.0256410256410256,2.19667468307212e-05
1823375628,0,0,0,0
1827443606,0,0,0,2.12305302615473e-05
1834492605,8729.1619047619,3,0.00116144018583043,2.2695230252019e-05
1836861,0,0,0,2.12305302615473e-05
1837189719,18599.1086623603,26,0.0393374741200828,3.50124178633619e-05
1838055528,1112.61548729049,5,0.241758241758242,2.49939648192201e-05
1844741133,0,0,0,0
1847919978,3019.56666666667,9,0.0110741971207087,2.92704341625237e-05
1848463875,2443.6232823628,4,0.080952380952381,2.29904087403072e-05
1852844221,0,0,0,2.12305302615473e-05
1853336456,0,0,0,0
186290077,0,0,0.00128205128205128,2.12305302615473e-05
1863800022,0,0,0,2.12305302615473e-05
186816135,0,0,0,2.12305302615473e-05
187401131,84.5277777777778,1,0.0541871921182266,2.16502035341593e-05
1875613904,0,0,0,2.12305302615473e-05
1883838461,0,0,0,0
1899215478,219,4,0.00480769230769231,2.87580711997853e-05
1899504310,0,6,0.533333333333333,3.21362291465551e-05
1899680547,0,0,0,0
190426843,0,0,0,0
1910323916,0,0,0,2.12305302615473e-05
1922301107,0,0,0,0
192556258,0,0,0,0
1928245067,0,0,0,0
1929548984,0,0,0.0508196721311475,2.12305302615473e-05
1940366800,0,0,0,0
1950383546,0,0,0,0
1955589627,182785.283007207,8,0.0371717171717172,2.55041453186396e-05
1958590754,0,0,0,0
1959339536,0,1,0,2.187502850163e-05
1963671209,0,0,0,0
1963928329,71618.8061832843,11,0.0409117475160725,2.82497027447542e-05
1964020153,95.5,2,0.0121457489878543,2.26349292889043e-05
1964534954,0,0,0,0
1964890855,0,0,0,2.12305302615473e-05
1965002285,0,0,0,2.12305302615473e-05
1965270474,0,0,0,0
1965314326,0,0,0,2.12305302615473e-05
1965352087,0,0,0,0
1965610314,868.770627440193,3,0.0663265306122449,2.22073941153313e-05
1965982582,32,2,0.00584795321637427,2.199724104805e-05
1966105321,0,0,0,2.12305302615473e-05
1966123162,0,0,0,0
1966177860,9339.36984285494,7,0.0426829268292683,2.3783615941698e-05
1966357947,11.5,1,0,2.15710198978174e-05
1966990611,42818.9375655195,6,0.0533562822719449,2.32771891054376e-05
1967060364,25442.0681743511,2,0.00765027322404372,2.20550568197814e-05
1967072190,56,1,0,2.14502758501233e-05
1967123095,0,0,0,2.12305302615473e-05
1967360884,0,0,0,2.12305302615473e-05
1967419670,15066.9960099085,7,0.0289855072463768,2.42969525215107e-05
1967591809,0,0,0.000725689404934688,2.12305302615473e-05
1967757778,0,0,0,0
1968696218,0,0,0.00526008182349503,2.12305302615473e-05
1968701431,85,4,0.0849673202614379,2.6659720837448e-05
1968794558,2467.11433288933,5,0.00647548566142461,2.26707203340221e-05
1969132838,19202.7714616097,10,0.0677361853832442,2.63172935016998e-05
1969383663,0,0,0,0
1969391848,0,0,0,2.12305302615473e-05
1969571681,0,0,0,2.12305302615473e-05
1969944630,5477.65396825397,12,0.0423280423280423,3.11679361360576e-05
