paper,similar
2582561810,2945089338
2582561810,2786771136
2582561810,2803101676
2582561810,2913649461
2582561810,2580167980
2582561810,3006506863
2582561810,2768988435
2582561810,3037886067
2582561810,3014393002
2582561810,2786091114
2126620275,2436142137
2126620275,2131111071
2126620275,2336625567
2126620275,3004497469
2126620275,2543721422
2126620275,2005238358
2126620275,2165989804
2126620275,2043066370
2126620275,2074699218
2126620275,2326159771
2116926372,3026728104
2116926372,1813099803
2116926372,2609215400
2116926372,3044451867
2116926372,2973133701
2116926372,2108120059
2116926372,3038426841
2116926372,2134599899
2116926372,2060780441
2116926372,2886045938
2074947593,2410794862
2074947593,2771421373
2074947593,2321467309
2074947593,2174035618
2074947593,2116888478
2074947593,2775222563
2074947593,2136555673
2074947593,2900389647
2074947593,200743057
2074947593,2069417857
2073166664,2094864672
2073166664,2135614762
2073166664,2167981013
2073166664,2037030088
2073166664,2010592697
2073166664,2240798537
2073166664,2132789241
2073166664,1516513741
2073166664,3045063972
2073166664,1993138464
2791544114,2938148511
2791544114,2998183799
2791544114,2889169458
2791544114,3033146297
2791544114,3034948931
2791544114,2909656628
2791544114,2065807412
2791544114,2908205629
2791544114,3048014385
2791544114,2272835587
2107060530,2160282714
2107060530,2593666313
2107060530,1973729673
2107060530,2612392068
2107060530,2521055947
2107060530,2064616216
2107060530,2410128705
2107060530,2724657317
2107060530,2887691002
2107060530,1827443606
2232384272,1959339536
2232384272,2724914130
2232384272,2035654630
2232384272,2989673547
2232384272,3007419529
2232384272,2793246835
2232384272,3037886067
2232384272,2786771136
2232384272,2947475682
2232384272,2963361481
2134599899,2984473707
2134599899,3008367140
2134599899,2159173026
2134599899,2962901856
2134599899,2519583169
2134599899,2617660813
2134599899,2138535704
2134599899,2740428545
2134599899,2997867760
2134599899,2554732289
2010351872,2049776632
2010351872,1987003629
2010351872,1973738966
2010351872,2080015534
2010351872,1967072190
2010351872,2114639263
2010351872,52579478
2010351872,2094864672
2010351872,2045263291
2010351872,1656559290
2742330194,2891453035
2742330194,2911715381
2742330194,2997841508
2742330194,2778250944
2742330194,2950637370
2742330194,3033808062
2742330194,2987566577
2742330194,2798611956
2742330194,2906971970
2742330194,2899204128
1899215478,2060749277
1899215478,2052094880
1899215478,2114283483
1899215478,2091494464
1899215478,1594392536
1899215478,2165580667
1899215478,1757694062
1899215478,2089165859
1899215478,2071205111
1899215478,2917074682
2159981908,2607906563
2159981908,1085730058
2159981908,3034254906
